time_s,latitude,longitude,rel_alt_m,battery_pct
54.075,47.3978,8.54708,49.692,14
54.2752,47.3978,8.54709,49.69,14
54.4753,47.3978,8.54711,49.688,14
54.6769,47.3978,8.54711,49.688,14
54.877,47.3978,8.54712,49.686,14
55.0771,47.3978,8.54713,49.685,14
55.2773,47.3978,8.54714,49.685,14
55.4774,47.3978,8.54716,49.685,14
55.6777,47.3978,8.54717,49.685,10
55.8781,47.3978,8.54718,49.686,10
56.0783,47.3978,8.5472,49.685,10
56.2784,47.3978,8.54721,49.685,10
56.4785,47.3978,8.54722,49.686,10
56.679,47.3978,8.54724,49.688,10
56.8792,47.3978,8.54725,49.69,10
57.0793,47.3978,8.54726,49.692,10
57.2795,47.3978,8.54728,49.693,10
57.4797,47.3978,8.54729,49.696,10
57.6806,47.3978,8.5473,49.697,7
57.8808,47.3978,8.54732,49.697,7
58.081,47.3978,8.54733,49.694,7
58.2811,47.3978,8.54734,49.692,7
58.4812,47.3978,8.54735,49.69,7
58.6813,47.3978,8.54737,49.69,7
58.8815,47.3978,8.54738,49.688,7
59.0816,47.3978,8.54739,49.684,7
59.2819,47.3978,8.54739,49.682,7
59.482,47.3978,8.5474,49.683,7
59.6823,47.3978,8.5474,49.686,4
59.8826,47.3978,8.54741,49.688,4
60.0827,47.3978,8.54741,49.69,4
60.2829,47.3978,8.54741,49.692,4
60.483,47.3978,8.54741,49.692,4
60.6831,47.3978,8.54741,49.693,4
60.8838,47.3978,8.54741,49.695,4
61.0839,47.3978,8.54741,49.697,4
61.2844,47.3978,8.54741,49.696,4
61.4845,47.3978,8.54741,49.695,4
61.685,47.3978,8.54741,49.695,4
61.8851,47.3978,8.54741,49.695,1
62.0852,47.3978,8.54741,49.694,1
62.2854,47.3978,8.54741,49.693,1
62.4855,47.3978,8.54741,49.693,1
62.6856,47.3978,8.54741,49.694,1
62.8858,47.3978,8.54741,49.695,1
63.0861,47.3978,8.54741,49.687,1
63.2862,47.3978,8.54741,49.627,1
63.4863,47.3978,8.54741,49.482,1
63.6864,47.3978,8.54741,49.231,1
63.8866,47.3978,8.54741,48.941,0
64.0867,47.3978,8.54741,48.643,0
64.2868,47.3978,8.54741,48.372,0
64.4871,47.3978,8.54741,48.092,0
64.6873,47.3978,8.54741,47.806,0
64.888,47.3978,8.54741,47.517,0
65.0884,47.3978,8.54741,47.226,0
65.2899,47.3978,8.54741,46.933,0
65.49,47.3978,8.54741,46.637,0
65.693,47.3978,8.54741,46.34,0
65.8939,47.3978,8.54741,46.043,0
66.0942,47.3978,8.54741,45.745,0
66.2944,47.3978,8.54741,45.447,0
66.4945,47.3978,8.54741,45.136,0
66.6946,47.3978,8.54741,44.848,0
66.8951,47.3978,8.54741,44.549,0
67.0953,47.3978,8.54741,44.25,0
67.2954,47.3978,8.54741,43.949,0
67.4956,47.3978,8.54741,43.648,0
67.697,47.3978,8.54741,43.346,0
67.8971,47.3978,8.54741,43.046,0
68.0972,47.3978,8.54741,42.744,0
68.2973,47.3978,8.54741,42.43,0
68.4974,47.3978,8.54741,42.14,0
68.6978,47.3978,8.54741,41.839,0
68.8979,47.3978,8.54741,41.539,0
69.0981,47.3978,8.54741,41.239,0
69.2983,47.3978,8.54741,40.939,0
69.4987,47.3978,8.54741,40.639,0
69.6989,47.3978,8.54741,40.339,0
69.899,47.3978,8.54741,40.039,0
70.0991,47.3978,8.54741,39.739,0
70.2993,47.3978,8.54741,39.438,0
70.4994,47.3978,8.54741,39.137,0
70.6995,47.3978,8.54741,38.824,0
70.8996,47.3978,8.54741,38.535,0
71.0998,47.3977,8.54741,38.235,0
71.3,47.3977,8.54741,37.934,0
71.5001,47.3977,8.54741,37.631,0
71.7008,47.3978,8.54741,37.33,0
71.9009,47.3977,8.54741,37.027,0
72.101,47.3977,8.54741,36.726,0
72.3011,47.3977,8.54741,36.425,0
72.5013,47.3977,8.54741,36.125,0
72.7014,47.3978,8.54741,35.825,0
72.9016,47.3978,8.54741,35.526,0
73.1017,47.3978,8.54741,35.227,0
73.3018,47.3978,8.54741,34.927,0
73.5019,47.3978,8.54741,34.627,0
73.7021,47.3978,8.54741,34.327,0
73.9022,47.3978,8.54741,34.025,0
74.1024,47.3978,8.54741,33.714,0
74.3025,47.3978,8.54741,33.426,0
74.5026,47.3978,8.54741,33.126,0
74.7028,47.3978,8.54741,32.826,0
74.9029,47.3978,8.54741,32.526,0
75.1031,47.3978,8.54741,32.227,0
75.3034,47.3978,8.54741,31.929,0
75.5037,47.3978,8.54741,31.631,0
75.7038,47.3978,8.54741,31.332,0
75.904,47.3978,8.54741,31.032,0
76.1041,47.3978,8.54741,30.732,0
76.3043,47.3978,8.54741,30.433,0
76.5045,47.3978,8.54741,30.134,0
76.7046,47.3978,8.54741,30.134,0
76.9048,47.3978,8.54741,29.833,0
77.105,47.3978,8.54741,29.534,0
77.3052,47.3978,8.54741,29.234,0
77.5053,47.3978,8.54741,28.934,0
77.7055,47.3978,8.54741,28.634,0
77.9059,47.3978,8.54741,28.335,0
78.1061,47.3978,8.54741,28.036,0
